ticker,subindustry
ATVI,media_and_entertainment
FCX,metals_and_mining
SQ,software_and_services
NOC,capital_goods
PGR,insurance
MCO,diversified_financials
BSX,health_care_equipment_and_services
FDX,transportation
WM,commercial_and_professional_services
VRTX,pharmaceuticals_biotechnology_and_life_sciences
MET,insurance
MET-PA,insurance
MET-PE,insurance
GD,capital_goods
WDAY,software_and_services
MRVL,semiconductors_and_semiconductor_equipment
PXD,oil_gas_and_consumable_fuels
EMR,capital_goods
KLAC,semiconductors_and_semiconductor_equipment
MAR,consumer_services
MELI,retailing
HUM,health_care_equipment_and_services
APD,chemicals
KDP,food_beverage_and_tobacco
VXUS,diversified_financials
RIVN,automobiles_and_components
EPD,oil_gas_and_consumable_fuels
VMW,software_and_services
ECL,chemicals
DDOG,software_and_services
SCCO,metals_and_mining
ILMN,pharmaceuticals_biotechnology_and_life_sciences
NEM,metals_and_mining
FTNT,software_and_services
PANW,software_and_services
ADSK,software_and_services
BK,diversified_financials
AIG,insurance
XLNX,semiconductors_and_semiconductor_equipment
CNC,health_care_equipment_and_services
MPC,oil_gas_and_consumable_fuels
DG,retailing
ROP,capital_goods
CTSH,software_and_services
IQV,pharmaceuticals_biotechnology_and_life_sciences
VCIT,diversified_financials
SNPS,software_and_services
APH,technology_hardware_and_equipment
PRU,insurance
ORLY,retailing
DELL,technology_hardware_and_equipment
DELL.VI,technology_hardware_and_equipment
DOW,chemicals
STZ,food_beverage_and_tobacco
AEP,utilities
MNST,food_beverage_and_tobacco
CMG,consumer_services
LHX,capital_goods
IDXX,health_care_equipment_and_services
SRE,utilities
MSCI,diversified_financials
PAYX,software_and_services
BAX,health_care_equipment_and_services
BNDX,diversified_financials
ADM,food_beverage_and_tobacco
LCID,automobiles_and_components
KHC,food_beverage_and_tobacco
HLT,consumer_services
ZM,software_and_services
WBA,food_and_staples_retailing
SYY,food_and_staples_retailing
HSY,food_beverage_and_tobacco
AFL,insurance
COIN,diversified_financials
GPN,software_and_services
VCSH,diversified_financials
CRWD,software_and_services
TRV,insurance
EXC,utilities
LULU,consumer_durables_and_apparel
PSX,oil_gas_and_consumable_fuels
GIS,food_beverage_and_tobacco
DXCM,health_care_equipment_and_services
DD,chemicals
MCK,health_care_equipment_and_services
A,pharmaceuticals_biotechnology_and_life_sciences
ALGN,health_care_equipment_and_services
OXY,oil_gas_and_consumable_fuels
CPNG,retailing
KMI,oil_gas_and_consumable_fuels
AZO,retailing
MCHP,semiconductors_and_semiconductor_equipment
HPQ,technology_hardware_and_equipment
CDNS,software_and_services
APO,diversified_financials
CTAS,commercial_and_professional_services
RBLX,media_and_entertainment
PH,capital_goods
CARR,capital_goods
ZS,software_and_services
RSG,commercial_and_professional_services
ANET,technology_hardware_and_equipment
EA,media_and_entertainment
VLO,oil_gas_and_consumable_fuels
WMB,oil_gas_and_consumable_fuels
CTVA,chemicals
SIVB,banks
KKR,diversified_financials
TTD,software_and_services
EBAY,retailing
MSI,technology_hardware_and_equipment
STT,diversified_financials
XEL,utilities
DFS,diversified_financials
RMD,health_care_equipment_and_services
PPG,chemicals
TSN,food_beverage_and_tobacco
TDG,capital_goods
DVN,oil_gas_and_consumable_fuels
YUM,consumer_services
VEEV,health_care_equipment_and_services
ALL,insurance
ALL-PB,insurance
LVS,consumer_services
GLW,technology_hardware_and_equipment
MPLX,oil_gas_and_consumable_fuels
TWLO,software_and_services
KR,food_and_staples_retailing
ODFL,transportation
NET,software_and_services
OTIS,capital_goods
IFF,chemicals
AMP,diversified_financials
PEG,utilities
DASH,retailing
ROST,retailing
FITB,banks
TROW,diversified_financials
MTD,pharmaceuticals_biotechnology_and_life_sciences
U,software_and_services
NUE,metals_and_mining
PCAR,capital_goods
MTCH,media_and_entertainment
AJG,insurance
IXUS,diversified_financials
BIIB,pharmaceuticals_biotechnology_and_life_sciences
CMI,capital_goods
ROK,capital_goods
ET,oil_gas_and_consumable_fuels
ET-PC,oil_gas_and_consumable_fuels
ET-PD,oil_gas_and_consumable_fuels
ET-PE,oil_gas_and_consumable_fuels
VRSK,commercial_and_professional_services
DLTR,retailing
FRC,banks
FRC-PI,banks
FRC-PK,banks
FRC-PN,banks
KEYS,technology_hardware_and_equipment
AME,capital_goods
EXPE,consumer_services
FAST,capital_goods
BLL,containers_and_packaging
OKTA,software_and_services
DHI,consumer_durables_and_apparel
ED,utilities
ABC,health_care_equipment_and_services
HES,oil_gas_and_consumable_fuels
HAL,energy_equipment_and_services
WST,pharmaceuticals_biotechnology_and_life_sciences
NDAQ,diversified_financials
CPRT,commercial_and_professional_services
WEC,utilities
OKE,oil_gas_and_consumable_fuels
TWTR,media_and_entertainment
MDB,software_and_services
ES,utilities
ANSS,software_and_services
BKR,energy_equipment_and_services
EFX,commercial_and_professional_services
LUV,transportation
MKC,food_beverage_and_tobacco
AWK,utilities
LEN,consumer_durables_and_apparel
DAL,transportation
ALB,chemicals
SWK,capital_goods
PLTR,software_and_services
APP,software_and_services
CSGP,commercial_and_professional_services
HUBS,software_and_services
HRL,food_beverage_and_tobacco
LH,health_care_equipment_and_services
CERN,health_care_equipment_and_services
NTRS,diversified_financials
LYV,media_and_entertainment
ON,semiconductors_and_semiconductor_equipment
TSCO,retailing
BILL,software_and_services
VMC,construction_materials
FANG,oil_gas_and_consumable_fuels
SIRI,media_and_entertainment
MBB,diversified_financials
KEY,banks
KEY-PJ,banks
ESGU,diversified_financials
ZBH,health_care_equipment_and_services
EPAM,software_and_services
CDW,technology_hardware_and_equipment
DOCU,software_and_services
BBY,retailing
GWW,capital_goods
IT,software_and_services
VRSN,software_and_services
MLM,construction_materials
VFC,consumer_durables_and_apparel
MTB,banks
FOX,media_and_entertainment
FOXA,media_and_entertainment
ZBRA,technology_hardware_and_equipment
VIAC,media_and_entertainment
RF,banks
RF-PE,banks
FTV,capital_goods
HIG,insurance
FE,utilities
DOV,capital_goods
RJF,diversified_financials
SGEN,pharmaceuticals_biotechnology_and_life_sciences
HBAN,banks
SYF,diversified_financials
EIX,utilities
PKI,pharmaceuticals_biotechnology_and_life_sciences
URI,capital_goods
CFG,banks
CFG-PE,banks
IGSB,diversified_financials
DTE,utilities
ZI,media_and_entertainment
PCG,utilities
ROKU,media_and_entertainment
CHWY,retailing
AEE,utilities
IR,capital_goods
YUMC,consumer_services
SWKS,semiconductors_and_semiconductor_equipment
HPE,technology_hardware_and_equipment
K,food_beverage_and_tobacco
AVTR,pharmaceuticals_biotechnology_and_life_sciences
PPL,utilities
SHY,diversified_financials
ETR,utilities
SBNY,banks
MGM,consumer_services
DVY,diversified_financials
CLR,oil_gas_and_consumable_fuels
PAYC,software_and_services
JBHT,transportation
FLT,software_and_services
PFG,insurance
NTAP,technology_hardware_and_equipment
WMG,media_and_entertainment
TDY,technology_hardware_and_equipment
WAT,pharmaceuticals_biotechnology_and_life_sciences
PATH,software_and_services
ULTA,retailing
MPWR,semiconductors_and_semiconductor_equipment
CINF,insurance
ENPH,semiconductors_and_semiconductor_equipment
TRU,commercial_and_professional_services
SSNC,software_and_services
COO,health_care_equipment_and_services
TYL,software_and_services
BIO,pharmaceuticals_biotechnology_and_life_sciences
CTRA,oil_gas_and_consumable_fuels
TTWO,media_and_entertainment
VTIP,diversified_financials
BRO,insurance
TER,semiconductors_and_semiconductor_equipment
VTRS,pharmaceuticals_biotechnology_and_life_sciences
DRI,consumer_services
CMS,utilities
IUSB,diversified_financials
PFF,diversified_financials
SPLK,software_and_services
EXPD,transportation
ALNY,pharmaceuticals_biotechnology_and_life_sciences
GPC,retailing
AKAM,software_and_services
HOLX,health_care_equipment_and_services
ETSY,retailing
IP,containers_and_packaging
CZR,consumer_services
POOL,retailing
MOS,chemicals
CTLT,pharmaceuticals_biotechnology_and_life_sciences
OMC,media_and_entertainment
NUAN,software_and_services
MOH,health_care_equipment_and_services
NVR,consumer_durables_and_apparel
KMX,retailing
EMB,diversified_financials
NLOK,software_and_services
MRO,oil_gas_and_consumable_fuels
XM,software_and_services
PODD,health_care_equipment_and_services
AGR,utilities
GNRC,capital_goods
CAG,food_beverage_and_tobacco
MKL,insurance
CNP,utilities
BR,software_and_services
HEI,capital_goods
ENTG,semiconductors_and_semiconductor_equipment
TW,diversified_financials
CG,diversified_financials
WDC,technology_hardware_and_equipment
PINS,media_and_entertainment
BMRN,pharmaceuticals_biotechnology_and_life_sciences
TRMB,technology_hardware_and_equipment
CE,chemicals
DISH,media_and_entertainment
CRL,pharmaceuticals_biotechnology_and_life_sciences
TECH,pharmaceuticals_biotechnology_and_life_sciences
WAB,capital_goods
ALLY,diversified_financials
ACWI,diversified_financials
XYL,capital_goods
TQQQ,diversified_financials
IEF,diversified_financials
WRB,insurance
CEG,utilities
DPZ,consumer_services
LKQ,retailing
RNG,software_and_services
J,commercial_and_professional_services
EMN,chemicals
DGX,health_care_equipment_and_services
TXT,capital_goods
CF,chemicals
L,insurance
BEN,diversified_financials
W,retailing
UAL,transportation
IEP,capital_goods
CFLT,software_and_services
ROL,commercial_and_professional_services
FDS,diversified_financials
AVY,containers_and_packaging
TFX,health_care_equipment_and_services
LPLA,diversified_financials
EQH,diversified_financials
EQH-PA,diversified_financials
EQH-PC,diversified_financials
TLT,diversified_financials
BURL,retailing
SJM,food_beverage_and_tobacco
INCY,pharmaceuticals_biotechnology_and_life_sciences
CCK,containers_and_packaging
UI,technology_hardware_and_equipment
FMC,chemicals
TRGP,oil_gas_and_consumable_fuels
IEX,capital_goods
VMBS,diversified_financials
CAH,health_care_equipment_and_services
LNT,utilities
MKTX,diversified_financials
ATO,utilities
AES,utilities
AESC,utilities
HWM,capital_goods
SCZ,diversified_financials
PWR,capital_goods
EVRG,utilities
BBWI,retailing
SHV,diversified_financials
ACI,food_and_staples_retailing
ZEN,software_and_services
PKG,containers_and_packaging
TOST,software_and_services
AAP,retailing
MAS,capital_goods
EXAS,pharmaceuticals_biotechnology_and_life_sciences
FNF,insurance
IPG,media_and_entertainment
QRVO,semiconductors_and_semiconductor_equipment
LYFT,transportation
AA,metals_and_mining
FICO,software_and_services
ARES,diversified_financials
ABMD,health_care_equipment_and_services
GDDY,software_and_services
WRK,containers_and_packaging
PTC,software_and_services
CPB,food_beverage_and_tobacco
RHI,commercial_and_professional_services
WLK,chemicals
NWS,media_and_entertainment
NWSA,media_and_entertainment
AFRM,software_and_services
BLDR,capital_goods
SEDG,semiconductors_and_semiconductor_equipment
HAS,consumer_durables_and_apparel
VGSH,diversified_financials
LNC,insurance
CNA,insurance
ASAN,software_and_services
CMA,banks
MASI,health_care_equipment_and_services
EWBC,banks
CTXS,software_and_services
NDSN,capital_goods
LDOS,commercial_and_professional_services
HCP,software_and_services
APA,oil_gas_and_consumable_fuels
MORN,diversified_financials
PLUG,capital_goods
BSY,software_and_services
DT,software_and_services
JKHY,software_and_services
FBHS,capital_goods
IUSG,diversified_financials
STLD,metals_and_mining
GGG,capital_goods
CVNA,retailing
S,software_and_services
CSL,capital_goods
IAC,media_and_entertainment
PHM,consumer_durables_and_apparel
FFIV,technology_hardware_and_equipment
ELAN,pharmaceuticals_biotechnology_and_life_sciences
XRAY,health_care_equipment_and_services
WOLF,semiconductors_and_semiconductor_equipment
IUSV,diversified_financials
TDOC,health_care_equipment_and_services
CHRW,transportation
WTRG,utilities
AFG,insurance
HOOD,diversified_financials
PTON,consumer_durables_and_apparel
WHR,consumer_durables_and_apparel
AAL,transportation
GDRX,health_care_equipment_and_services
NI,utilities
WSM,retailing
IGIB,diversified_financials
CGNX,technology_hardware_and_equipment
AOS,capital_goods
UHAL,transportation
OVV,oil_gas_and_consumable_fuels
SNA,capital_goods
PCTY,software_and_services
WES,oil_gas_and_consumable_fuels
ZION,banks
FND,retailing
WBS,banks
WBS-PF,banks
RPM,chemicals
MTN,consumer_services
DVA,health_care_equipment_and_services
IOT,software_and_services
JNPR,technology_hardware_and_equipment
DOCS,health_care_equipment_and_services
TAP,food_beverage_and_tobacco
H,consumer_services
NLY,diversified_financials
NLY-PG,diversified_financials
NLY-PI,diversified_financials
UHS,health_care_equipment_and_services
MIDD,capital_goods
CDAY,software_and_services
HSIC,health_care_equipment_and_services
WYNN,consumer_services
PSXP,oil_gas_and_consumable_fuels
VST,utilities
RRX,capital_goods
GL,insurance
DAR,food_beverage_and_tobacco
ARCC,diversified_financials
RGEN,pharmaceuticals_biotechnology_and_life_sciences
GTLB,software_and_services
CNXC,software_and_services
SCI,consumer_services
TXG,pharmaceuticals_biotechnology_and_life_sciences
BRKR,pharmaceuticals_biotechnology_and_life_sciences
NWL,consumer_durables_and_apparel
ZNGA,media_and_entertainment
IEI,diversified_financials
TPR,consumer_durables_and_apparel
LUMN,telecommunication_services
WAL,banks
BWA,automobiles_and_components
CAR,transportation
MMP,oil_gas_and_consumable_fuels
TTC,capital_goods
ACM,capital_goods
BKI,software_and_services
RS,metals_and_mining
SOFI,diversified_financials
HUBB,capital_goods
BAH,commercial_and_professional_services
CIEN,technology_hardware_and_equipment
SNX,technology_hardware_and_equipment
SNX.VI,technology_hardware_and_equipment
TREX,capital_goods
MHK,consumer_durables_and_apparel
COUP,software_and_services
NRG,utilities
CLF,metals_and_mining
AGCO,capital_goods
LII,capital_goods
LW,food_beverage_and_tobacco
LEA,automobiles_and_components
AXON,capital_goods
LAD,retailing
DKS,retailing
FHN,banks
FHN PRA,banks
FHN-PF,banks
DKNG,consumer_services
FIVE,retailing
SEE,containers_and_packaging
GME,retailing
GXO,transportation
HTZ,transportation
WSO,capital_goods
DBX,software_and_services
SYNH,pharmaceuticals_biotechnology_and_life_sciences
AZPN,software_and_services
ARMK,consumer_services
AIZ,insurance
Y,insurance
KNX,transportation
UTHR,pharmaceuticals_biotechnology_and_life_sciences
RDVY,diversified_financials
CFR,banks
CFR-PB,banks
AMC,media_and_entertainment
VGIT,diversified_financials
JEF,diversified_financials
CABO,media_and_entertainment
DXC,software_and_services
OC,capital_goods
LEVI,consumer_durables_and_apparel
FIVN,software_and_services
PBCT,banks
PCOR,software_and_services
OGN,pharmaceuticals_biotechnology_and_life_sciences
RH,retailing
BJ,food_and_staples_retailing
THC,health_care_equipment_and_services
CBSH,banks
JBL,technology_hardware_and_equipment
RL,consumer_durables_and_apparel
FTCS,diversified_financials
ALV,automobiles_and_components
AVLR,software_and_services
EQT,oil_gas_and_consumable_fuels
IBB,diversified_financials
TPL,oil_gas_and_consumable_fuels
ERIE,insurance
ARW,technology_hardware_and_equipment
WSC,capital_goods
MAT,consumer_durables_and_apparel
PEN,health_care_equipment_and_services
HFC,oil_gas_and_consumable_fuels
BERY,containers_and_packaging
USFD,food_and_staples_retailing
SOXX,diversified_financials
SYNA,semiconductors_and_semiconductor_equipment
WMS,capital_goods
CHDN,consumer_services
EDR,media_and_entertainment
MANH,software_and_services
DNB,commercial_and_professional_services
PENN,consumer_services
SEIC,diversified_financials
DECK,consumer_durables_and_apparel
UPST,diversified_financials
SF,diversified_financials
SF-PD,diversified_financials
AGL,health_care_equipment_and_services
KSS,retailing
PFGC,food_and_staples_retailing
UGI,utilities
UGIC,utilities
WH,consumer_services
NBIX,pharmaceuticals_biotechnology_and_life_sciences
CHK,oil_gas_and_consumable_fuels
TTEK,commercial_and_professional_services
CHH,consumer_services
OLN,chemicals
MKSI,semiconductors_and_semiconductor_equipment
BFAM,consumer_services
HUN,chemicals
PEGA,software_and_services
VRT,capital_goods
ORI,insurance
IPGP,technology_hardware_and_equipment
GWRE,software_and_services
SMAR,software_and_services
CACC,diversified_financials
SMG,chemicals
UA,consumer_durables_and_apparel
UAA,consumer_durables_and_apparel
PNW,utilities
SITE,capital_goods
PLNT,consumer_services
LSCC,semiconductors_and_semiconductor_equipment
TPX,consumer_durables_and_apparel
DLB,software_and_services
PSTG,technology_hardware_and_equipment
WEX,software_and_services
PAA,oil_gas_and_consumable_fuels
DNA,pharmaceuticals_biotechnology_and_life_sciences
OSK,capital_goods
BYD,consumer_services
XPO,transportation
WU,software_and_services
SNV,banks
SNV-PD,banks
RGA,insurance
M,retailing
VOYA,diversified_financials
FAF,insurance
NVST,health_care_equipment_and_services
PAG,retailing
ATR,containers_and_packaging
ESGD,diversified_financials
SMH,diversified_financials
BLD,consumer_durables_and_apparel
STWD,diversified_financials
ITT,capital_goods
PNFP,banks
LECO,capital_goods
HLI,diversified_financials
VONG,diversified_financials
TNDM,health_care_equipment_and_services
EEFT,software_and_services
BPOP,banks
FSLR,semiconductors_and_semiconductor_equipment
SKX,consumer_durables_and_apparel
OGE,utilities
AGNC,diversified_financials
VONV,diversified_financials
PII,consumer_durables_and_apparel
NXST,media_and_entertainment
BC,consumer_durables_and_apparel
PLTK,media_and_entertainment
HII,capital_goods
INFA,software_and_services
GH,health_care_equipment_and_services
WWD,capital_goods
ALK,transportation
IBKR,diversified_financials
GNTX,automobiles_and_components
BOKF,banks
CHE,health_care_equipment_and_services
MP,metals_and_mining
RGLD,metals_and_mining
IIVI,technology_hardware_and_equipment
VAC,consumer_services
RCM,health_care_equipment_and_services
SRPT,pharmaceuticals_biotechnology_and_life_sciences
NYT,media_and_entertainment
SAIA,transportation
DGRW,diversified_financials
TWKS,software_and_services
PB,banks
PPC,food_beverage_and_tobacco
FYBR,telecommunication_services
PVH,consumer_durables_and_apparel
PLAN,software_and_services
GMED,health_care_equipment_and_services
AN,retailing
NVAX,pharmaceuticals_biotechnology_and_life_sciences
LITE,technology_hardware_and_equipment
NTLA,pharmaceuticals_biotechnology_and_life_sciences
USIG,diversified_financials
OMCL,health_care_equipment_and_services
NOV,energy_equipment_and_services
OMF,diversified_financials
FFIN,banks
CASY,food_and_staples_retailing
ATUS,media_and_entertainment
QS,automobiles_and_components
OLED,semiconductors_and_semiconductor_equipment
MTZ,capital_goods
DCI,capital_goods
POST,food_beverage_and_tobacco
NTRA,pharmaceuticals_biotechnology_and_life_sciences
MCHI,diversified_financials
DCP,oil_gas_and_consumable_fuels
TOL,consumer_durables_and_apparel
COHR,technology_hardware_and_equipment
DOCN,software_and_services
CFX,capital_goods
EHC,health_care_equipment_and_services
CHNG,health_care_equipment_and_services
AYI,capital_goods
AR,oil_gas_and_consumable_fuels
TXRH,consumer_services
HOG,automobiles_and_components
QYLD,diversified_financials
COLM,consumer_durables_and_apparel
SHC,pharmaceuticals_biotechnology_and_life_sciences
AZTA,semiconductors_and_semiconductor_equipment
ADT,commercial_and_professional_services
MEDP,pharmaceuticals_biotechnology_and_life_sciences
LFUS,technology_hardware_and_equipment
WCC,capital_goods
WCC-PA,capital_goods
FSK,diversified_financials
CCCS,software_and_services
ISTB,diversified_financials
KBR,commercial_and_professional_services
PDBC,diversified_financials
X,metals_and_mining
INSP,health_care_equipment_and_services
EME,capital_goods
PRI,insurance
SSB,banks
OZK,banks
SGMS,consumer_services
HGV,consumer_services
LPX,paper_and_forest_products
CR,capital_goods
NEP,utilities
VLY,banks
MQ,software_and_services
MAN,commercial_and_professional_services
AUR,commercial_and_professional_services
EXEL,pharmaceuticals_biotechnology_and_life_sciences
CADE,banks
FLO,food_beverage_and_tobacco
UNM,insurance
WTFC,banks
WK,software_and_services
ORCC,diversified_financials
PACW,banks
LMBS,diversified_financials
CACI,commercial_and_professional_services
LSTR,transportation
BRZE,software_and_services
GBCI,banks
CROX,consumer_durables_and_apparel
INGR,food_beverage_and_tobacco
ARNA,pharmaceuticals_biotechnology_and_life_sciences
VVV,chemicals
ESI,chemicals
GPS,retailing
YETI,consumer_durables_and_apparel
AMG,diversified_financials
GPK,containers_and_packaging
SLAB,semiconductors_and_semiconductor_equipment
ASGN,commercial_and_professional_services
NTNX,software_and_services
PDCE,oil_gas_and_consumable_fuels
MRTX,pharmaceuticals_biotechnology_and_life_sciences
LAZR,automobiles_and_components
IJT,diversified_financials
NFG,utilities
EXP,construction_materials
RPD,software_and_services
IART,health_care_equipment_and_services
NCR,software_and_services
MDU,utilities
TNET,commercial_and_professional_services
SLM,diversified_financials
SON,containers_and_packaging
VSCO,retailing
TDC,software_and_services
COKE,food_beverage_and_tobacco
SRCL,commercial_and_professional_services
ASH,chemicals
NYCB,banks
SWN,oil_gas_and_consumable_fuels
SHLX,oil_gas_and_consumable_fuels
SWAV,health_care_equipment_and_services
MSA,commercial_and_professional_services
CW,capital_goods
SKYY,diversified_financials
TENB,software_and_services
ARWR,pharmaceuticals_biotechnology_and_life_sciences
HBI,consumer_durables_and_apparel
MUR,oil_gas_and_consumable_fuels
IDA,utilities
VG,software_and_services
THO,automobiles_and_components
BXMT,diversified_financials
SAM,food_beverage_and_tobacco
NATI,technology_hardware_and_equipment
ICUI,health_care_equipment_and_services
AQUA,capital_goods
ALGM,semiconductors_and_semiconductor_equipment
FOXF,automobiles_and_components
SPR,capital_goods
CCMP,semiconductors_and_semiconductor_equipment
MTDR,oil_gas_and_consumable_fuels
CIBR,diversified_financials
TMX,consumer_services
NCNO,software_and_services
CLH,commercial_and_professional_services
WOOF,retailing
SEAS,consumer_services
AMKR,semiconductors_and_semiconductor_equipment
ROG,technology_hardware_and_equipment
LEG,consumer_durables_and_apparel
ANAT,insurance
TNL,consumer_services
ROLL,capital_goods
WEN,consumer_services
SSD,capital_goods
RRC,oil_gas_and_consumable_fuels
CDK,software_and_services
MTG,banks
TKR,capital_goods
POWI,semiconductors_and_semiconductor_equipment
DRVN,commercial_and_professional_services
UMBF,banks
APG,capital_goods
BXSL,diversified_financials
RARE,pharmaceuticals_biotechnology_and_life_sciences
THG,insurance
DTM,oil_gas_and_consumable_fuels
NRZ,diversified_financials
NRZ-PA,diversified_financials
NRZ-PB,diversified_financials
NRZ-PC,diversified_financials
NRZ-PD,diversified_financials
ZD,media_and_entertainment
FIXD,diversified_financials
FCN,commercial_and_professional_services
ITCI,pharmaceuticals_biotechnology_and_life_sciences
UNVR,capital_goods
UBSI,banks
MCW,consumer_services
FRSH,software_and_services
JBLU,transportation
BPMC,pharmaceuticals_biotechnology_and_life_sciences
AVNT,chemicals
HALO,pharmaceuticals_biotechnology_and_life_sciences
EVR,diversified_financials
HQY,health_care_equipment_and_services
MCFE,software_and_services
IAA,commercial_and_professional_services
NEWR,software_and_services
NFE,oil_gas_and_consumable_fuels
FNB,banks
FNB-PE,banks
ALTR,software_and_services
CC,chemicals
APPS,software_and_services
ALIT,commercial_and_professional_services
VNQI,diversified_financials
WTS,capital_goods
AM,oil_gas_and_consumable_fuels
SAIC,commercial_and_professional_services
AMPL,software_and_services
AMN,health_care_equipment_and_services
DDS,retailing
UFPI,capital_goods
AL,capital_goods
RUN,capital_goods
HWC,banks
SLGN,containers_and_packaging
ATKR,capital_goods
CRUS,semiconductors_and_semiconductor_equipment
MMS,software_and_services
ACHC,health_care_equipment_and_services
VNT,technology_hardware_and_equipment
IONS,pharmaceuticals_biotechnology_and_life_sciences
MSTR,software_and_services
OSH,health_care_equipment_and_services
AB,diversified_financials
TGNA,media_and_entertainment
SNDR,transportation
OWL,diversified_financials
EVA,oil_gas_and_consumable_fuels
SIGI,insurance
SFBS,banks
POR,utilities
AAXJ,diversified_financials
UMPQ,banks
CHX,energy_equipment_and_services
ICLN,diversified_financials
VCLT,diversified_financials
WING,consumer_services
VTWO,diversified_financials
PYCR,software_and_services
AZEK,capital_goods
VMI,capital_goods
WD,banks
ACWX,diversified_financials
AWI,capital_goods
AMED,health_care_equipment_and_services
