ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,ENSG,2018-02-12,0.569,2.644,0.094,11.961,4.279,0.283,0.479,0.024,0.006,0.003,0.017,-0.007,0.012,0.012,-0.017,-0.002,0.037,-0.042,3.511,-0.057,3.815,-0.214,7.064,2013-02-27,health_care_equipment_and_services
ABC,PDCO,2018-02-12,0.824,-2.899,0.095,28.478,4.279,0.593,-1.445,-0.004,0.061,0.022,0.033,-0.005,-0.013,0.002,-0.018,0.007,0.026,-0.218,-5.72,-0.227,-5.841,-0.236,-5.959,2013-02-27,health_care_equipment_and_services
ABMD,ATRI,2018-02-12,0.706,-3.282,2.231,188.342,4.279,0.513,-1.924,0.008,-0.021,0.045,-0.05,0.046,0.023,0.05,-0.065,0.041,-0.028,-0.096,-5.367,-0.093,-5.307,-0.278,-9.324,2013-02-27,health_care_equipment_and_services
ABMD,BDX,2018-02-12,0.745,-3.184,0.611,84.16,4.279,0.884,-0.473,-0.058,0.003,-0.016,-0.007,-0.006,-0.026,0.032,0.07,-0.037,-0.039,-0.095,-7.453,-0.092,-7.301,-0.227,-13.33,2013-02-27,health_care_equipment_and_services
ABMD,BSX,2018-02-12,0.745,-2.776,0.086,12.202,4.279,0.52,-2.04,0.005,-0.021,0.013,0.022,-0.007,-0.003,0.007,-0.053,-0.003,0.03,-0.076,-4.368,-0.071,-4.267,-0.184,-6.64,2013-02-27,health_care_equipment_and_services
ABMD,NEOG,2018-02-12,1.0,-2.641,0.088,12.076,4.279,0.585,-0.667,-0.055,-0.002,-0.094,-0.068,0.016,0.011,0.032,-0.074,-0.038,0.008,-0.03,-3.476,0.018,-2.153,-0.081,-4.861,2013-02-27,health_care_equipment_and_services
ABMD,XRAY,2018-02-12,0.941,-2.672,0.068,49.033,4.279,0.396,-0.694,-0.002,-0.054,-0.034,-0.034,-0.066,0.059,-0.022,-0.055,-0.088,0.016,-0.06,-3.924,-0.172,-6.251,-0.268,-8.232,2013-02-27,health_care_equipment_and_services
ADUS,AMEH,2018-02-12,0.902,2.637,0.358,-2.516,4.279,0.767,1.044,-0.017,-0.005,-0.066,-0.036,-0.04,0.085,0.014,-0.034,0.013,0.028,0.08,1.888,0.358,-0.721,0.269,0.117,2013-02-27,health_care_equipment_and_services
AMED,AMN,2018-02-12,0.902,2.746,0.638,6.241,4.279,0.879,0.805,-0.037,0.001,0.007,0.035,0.071,0.049,-0.092,-0.057,-0.005,0.056,-0.028,3.342,-0.055,3.91,0.085,0.955,2013-02-27,health_care_equipment_and_services
AMED,OMI,2018-02-12,0.627,-3.247,-0.125,35.118,4.279,0.677,-3.145,0.022,-0.008,-0.012,-0.008,-0.013,0.089,0.059,0.086,0.097,-0.017,0.246,-2.78,0.19,-2.886,0.351,-2.58,2013-02-27,health_care_equipment_and_services
